O,FAM
2,Ostriches
7,Ostriches
8,Ostriches
10,Rheas
16,Rheas
17,Rheas
20,Rheas
22,Tinamous
23,Tinamous
24,Tinamous
29,Tinamous
30,Tinamous
33,Tinamous
38,Tinamous
39,Tinamous
42,Tinamous
55,Tinamous
56,Tinamous
57,Tinamous
58,Tinamous
59,Tinamous
74,Tinamous
75,Tinamous
76,Tinamous
77,Tinamous
86,Tinamous
93,Tinamous
94,Tinamous
95,Tinamous
96,Tinamous
104,Tinamous
105,Tinamous
106,Tinamous
107,Tinamous
110,Tinamous
113,Tinamous
114,Tinamous
115,Tinamous
116,Tinamous
117,Tinamous
126,Tinamous
127,Tinamous
128,Tinamous
129,Tinamous
130,Tinamous
135,Tinamous
136,Tinamous
140,Tinamous
141,Tinamous
142,Tinamous
146,Tinamous
149,Tinamous
152,Tinamous
161,Tinamous
164,Tinamous
165,Tinamous
166,Tinamous
167,Tinamous
173,Tinamous
183,Tinamous
184,Tinamous
185,Tinamous
186,Tinamous
197,Tinamous
200,Tinamous
201,Tinamous
202,Tinamous
204,Cassowaries and Emu
205,Cassowaries and Emu
206,Cassowaries and Emu
207,Cassowaries and Emu
213,Kiwis
214,Kiwis
215,Kiwis
216,Kiwis
217,Kiwis
218,Kiwis
219,Kiwis
220,Kiwis
221,Kiwis
223,Screamers
224,Screamers
225,Screamers
227,Waterfowl
229,Waterfowl
230,Waterfowl
231,Waterfowl
232,Waterfowl
233,Waterfowl
234,Waterfowl
235,Waterfowl
236,Waterfowl
237,Waterfowl
238,Waterfowl
239,Waterfowl
240,Waterfowl
241,Waterfowl
245,Waterfowl
246,Waterfowl
247,Waterfowl
248,Waterfowl
249,Waterfowl
250,Waterfowl
251,Waterfowl
254,Waterfowl
255,Waterfowl
256,Waterfowl
259,Waterfowl
260,Waterfowl
261,Waterfowl
262,Waterfowl
263,Waterfowl
264,Waterfowl
265,Waterfowl
266,Waterfowl
267,Waterfowl
268,Waterfowl
269,Waterfowl
270,Waterfowl
271,Waterfowl
272,Waterfowl
273,Waterfowl
274,Waterfowl
277,Waterfowl
278,Waterfowl
279,Waterfowl
280,Waterfowl
281,Waterfowl
282,Waterfowl
283,Waterfowl
284,Waterfowl
288,Waterfowl
291,Waterfowl
292,Waterfowl
293,Waterfowl
294,Waterfowl
295,Waterfowl
296,Waterfowl
297,Waterfowl
298,Waterfowl
299,Waterfowl
300,Waterfowl
301,Waterfowl
302,Waterfowl
303,Waterfowl
304,Waterfowl
305,Waterfowl
306,Waterfowl
307,Waterfowl
308,Waterfowl
309,Waterfowl
310,Waterfowl
311,Waterfowl
312,Waterfowl
313,Waterfowl
314,Waterfowl
315,Waterfowl
316,Waterfowl
317,Waterfowl
318,Waterfowl
319,Waterfowl
320,Waterfowl
321,Waterfowl
322,Waterfowl
323,Waterfowl
324,Waterfowl
325,Waterfowl
328,Waterfowl
331,Waterfowl
335,Waterfowl
336,Waterfowl
337,Waterfowl
338,Waterfowl
339,Waterfowl
340,Waterfowl
341,Waterfowl
342,Waterfowl
343,Waterfowl
344,Waterfowl
345,Waterfowl
346,Waterfowl
347,Waterfowl
348,Waterfowl
349,Waterfowl
350,Waterfowl
351,Waterfowl
352,Waterfowl
353,Waterfowl
356,Waterfowl
357,Waterfowl
358,Waterfowl
359,Waterfowl
360,Waterfowl
361,Waterfowl
362,Waterfowl
363,Waterfowl
364,Waterfowl
365,Waterfowl
366,Waterfowl
367,Waterfowl
368,Waterfowl
369,Waterfowl
370,Waterfowl
371,Waterfowl
372,Waterfowl
373,Waterfowl
374,Waterfowl
375,Waterfowl
376,Waterfowl
377,Waterfowl
378,Waterfowl
379,Waterfowl
380,Waterfowl
381,Waterfowl
382,Waterfowl
385,Waterfowl
386,Waterfowl
387,Waterfowl
390,Waterfowl
391,Waterfowl
392,Waterfowl
393,Waterfowl
394,Waterfowl
397,Waterfowl
398,Waterfowl
399,Waterfowl
400,Waterfowl
401,Waterfowl
402,Waterfowl
403,Waterfowl
404,Waterfowl
405,Waterfowl
406,Waterfowl
407,Waterfowl
408,Waterfowl
409,Waterfowl
410,Waterfowl
411,Waterfowl
412,Waterfowl
413,Waterfowl
414,Waterfowl
415,Waterfowl
416,Waterfowl
417,Waterfowl
418,Waterfowl
419,Waterfowl
422,Waterfowl
423,Waterfowl
424,Waterfowl
425,Waterfowl
426,Waterfowl
427,Waterfowl
430,Waterfowl
431,Waterfowl
432,Waterfowl
433,Waterfowl
434,Waterfowl
435,Waterfowl
436,Waterfowl
437,Waterfowl
438,Waterfowl
439,Waterfowl
442,Waterfowl
445,Waterfowl
452,Waterfowl
453,Waterfowl
454,Waterfowl
455,Waterfowl
456,Waterfowl
459,Waterfowl
460,Waterfowl
461,Waterfowl
467,Waterfowl
468,Waterfowl
469,Waterfowl
470,Waterfowl
471,Waterfowl
474,Waterfowl
475,Waterfowl
476,Waterfowl
477,Waterfowl
478,Waterfowl
479,Waterfowl
480,Waterfowl
481,Waterfowl
482,Waterfowl
483,Waterfowl
484,Waterfowl
485,Waterfowl
486,Waterfowl
487,Waterfowl
488,Waterfowl
489,Waterfowl
490,Waterfowl
491,Waterfowl
492,Waterfowl
493,Waterfowl
494,Waterfowl
495,Waterfowl
496,Waterfowl
497,Waterfowl
500,Waterfowl
503,Waterfowl
504,Waterfowl
507,Waterfowl
508,Waterfowl
509,Waterfowl
510,Waterfowl
513,Waterfowl
514,Waterfowl
515,Waterfowl
518,Waterfowl
519,Waterfowl
520,Waterfowl
521,Waterfowl
522,Waterfowl
523,Waterfowl
524,Waterfowl
525,Waterfowl
526,Waterfowl
527,Waterfowl
528,Waterfowl
529,Waterfowl
530,Waterfowl
531,Waterfowl
532,Waterfowl
533,Waterfowl
534,Waterfowl
535,Waterfowl
536,Waterfowl
537,Waterfowl
538,Waterfowl
539,Waterfowl
540,Waterfowl
541,Waterfowl
542,Waterfowl
543,Waterfowl
544,Waterfowl
545,Waterfowl
546,Waterfowl
547,Waterfowl
548,Waterfowl
549,Waterfowl
550,Waterfowl
551,Waterfowl
552,Waterfowl
555,Waterfowl
556,Waterfowl
557,Waterfowl
558,Waterfowl
559,Waterfowl
560,Waterfowl
561,Waterfowl
562,Waterfowl
563,Waterfowl
564,Waterfowl
565,Waterfowl
566,Waterfowl
569,Waterfowl
570,Waterfowl
571,Waterfowl
574,Waterfowl
575,Waterfowl
576,Waterfowl
577,Waterfowl
578,Waterfowl
579,Waterfowl
580,Waterfowl
581,Waterfowl
582,Waterfowl
583,Waterfowl
584,Waterfowl
585,Waterfowl
586,Waterfowl
587,Waterfowl
588,Waterfowl
589,Waterfowl
590,Waterfowl
591,Waterfowl
592,Waterfowl
593,Waterfowl
594,Waterfowl
595,Waterfowl
596,Waterfowl
597,Waterfowl
598,Waterfowl
599,Waterfowl
602,Waterfowl
603,Waterfowl
606,Waterfowl
607,Waterfowl
608,Waterfowl
609,Waterfowl
610,Waterfowl
611,Waterfowl
612,Waterfowl
613,Waterfowl
614,Waterfowl
615,Waterfowl
616,Waterfowl
617,Waterfowl
618,Waterfowl
619,Waterfowl
620,Waterfowl
621,Waterfowl
622,Waterfowl
623,Waterfowl
626,Waterfowl
627,Waterfowl
628,Waterfowl
629,Waterfowl
630,Waterfowl
631,Waterfowl
632,Waterfowl
633,Waterfowl
634,Waterfowl
635,Waterfowl
636,Waterfowl
637,Waterfowl
638,Waterfowl
639,Waterfowl
640,Waterfowl
641,Waterfowl
642,Waterfowl
643,Waterfowl
644,Waterfowl
645,Waterfowl
646,Waterfowl
647,Waterfowl
648,Waterfowl
649,Waterfowl
650,Waterfowl
651,Waterfowl
652,Waterfowl
653,Waterfowl
654,Waterfowl
655,Waterfowl
658,Waterfowl
659,Waterfowl
660,Waterfowl
661,Waterfowl
662,Waterfowl
663,Waterfowl
664,Waterfowl
665,Waterfowl
666,Waterfowl
667,Waterfowl
668,Waterfowl
669,Waterfowl
670,Waterfowl
671,Waterfowl
672,Waterfowl
673,Waterfowl
674,Waterfowl
675,Waterfowl
676,Waterfowl
677,Waterfowl
678,Waterfowl
679,Waterfowl
680,Waterfowl
681,Waterfowl
682,Waterfowl
683,Waterfowl
684,Waterfowl
685,Waterfowl
686,Waterfowl
687,Waterfowl
688,Waterfowl
689,Waterfowl
690,Waterfowl
691,Waterfowl
692,Waterfowl
693,Waterfowl
694,Waterfowl
695,Waterfowl
696,Waterfowl
697,Waterfowl
698,Waterfowl
699,Waterfowl
700,Waterfowl
701,Waterfowl
702,Waterfowl
705,Waterfowl
706,Waterfowl
707,Waterfowl
708,Waterfowl
709,Waterfowl
710,Waterfowl
711,Waterfowl
712,Waterfowl
713,Waterfowl
714,Waterfowl
715,Waterfowl
716,Waterfowl
717,Waterfowl
718,Waterfowl
719,Waterfowl
720,Waterfowl
721,Waterfowl
724,Waterfowl
725,Waterfowl
726,Waterfowl
727,Waterfowl
728,Waterfowl
729,Waterfowl
730,Waterfowl
731,Waterfowl
732,Waterfowl
733,Waterfowl
734,Waterfowl
735,Waterfowl
736,Waterfowl
737,Waterfowl
738,Waterfowl
739,Waterfowl
740,Waterfowl
741,Waterfowl
742,Waterfowl
743,Waterfowl
744,Waterfowl
745,Waterfowl
746,Waterfowl
747,Waterfowl
750,Waterfowl
751,Waterfowl
753,Megapodes
756,Megapodes
759,Megapodes
760,Megapodes
763,Megapodes
768,Megapodes
771,Megapodes
772,Megapodes
773,Megapodes
774,Megapodes
775,Megapodes
776,Megapodes
779,Megapodes
782,Megapodes
790,Megapodes
791,Megapodes
792,Megapodes
793,Megapodes
797,Megapodes
800,Megapodes
801,Megapodes
802,Megapodes
803,Megapodes
804,Megapodes
811,"Chachalacas, Guans, and Curassows"
816,"Chachalacas, Guans, and Curassows"
817,"Chachalacas, Guans, and Curassows"
818,"Chachalacas, Guans, and Curassows"
819,"Chachalacas, Guans, and Curassows"
820,"Chachalacas, Guans, and Curassows"
821,"Chachalacas, Guans, and Curassows"
822,"Chachalacas, Guans, and Curassows"
823,"Chachalacas, Guans, and Curassows"
824,"Chachalacas, Guans, and Curassows"
827,"Chachalacas, Guans, and Curassows"
828,"Chachalacas, Guans, and Curassows"
829,"Chachalacas, Guans, and Curassows"
830,"Chachalacas, Guans, and Curassows"
833,"Chachalacas, Guans, and Curassows"
834,"Chachalacas, Guans, and Curassows"
835,"Chachalacas, Guans, and Curassows"
836,"Chachalacas, Guans, and Curassows"
837,"Chachalacas, Guans, and Curassows"
838,"Chachalacas, Guans, and Curassows"
839,"Chachalacas, Guans, and Curassows"
840,"Chachalacas, Guans, and Curassows"
844,"Chachalacas, Guans, and Curassows"
845,"Chachalacas, Guans, and Curassows"
846,"Chachalacas, Guans, and Curassows"
852,"Chachalacas, Guans, and Curassows"
855,"Chachalacas, Guans, and Curassows"
859,"Chachalacas, Guans, and Curassows"
860,"Chachalacas, Guans, and Curassows"
861,"Chachalacas, Guans, and Curassows"
862,"Chachalacas, Guans, and Curassows"
866,"Chachalacas, Guans, and Curassows"
867,"Chachalacas, Guans, and Curassows"
871,"Chachalacas, Guans, and Curassows"
872,"Chachalacas, Guans, and Curassows"
873,"Chachalacas, Guans, and Curassows"
876,"Chachalacas, Guans, and Curassows"
877,"Chachalacas, Guans, and Curassows"
878,"Chachalacas, Guans, and Curassows"
879,"Chachalacas, Guans, and Curassows"
880,"Chachalacas, Guans, and Curassows"
881,"Chachalacas, Guans, and Curassows"
882,"Chachalacas, Guans, and Curassows"
883,"Chachalacas, Guans, and Curassows"
884,"Chachalacas, Guans, and Curassows"
885,"Chachalacas, Guans, and Curassows"
886,"Chachalacas, Guans, and Curassows"
887,"Chachalacas, Guans, and Curassows"
888,"Chachalacas, Guans, and Curassows"
889,"Chachalacas, Guans, and Curassows"
890,"Chachalacas, Guans, and Curassows"
891,"Chachalacas, Guans, and Curassows"
892,"Chachalacas, Guans, and Curassows"
893,"Chachalacas, Guans, and Curassows"
894,"Chachalacas, Guans, and Curassows"
900,"Chachalacas, Guans, and Curassows"
901,"Chachalacas, Guans, and Curassows"
902,"Chachalacas, Guans, and Curassows"
903,"Chachalacas, Guans, and Curassows"
904,"Chachalacas, Guans, and Curassows"
905,"Chachalacas, Guans, and Curassows"
906,"Chachalacas, Guans, and Curassows"
907,"Chachalacas, Guans, and Curassows"
910,"Chachalacas, Guans, and Curassows"
911,"Chachalacas, Guans, and Curassows"
912,"Chachalacas, Guans, and Curassows"
915,"Chachalacas, Guans, and Curassows"
916,"Chachalacas, Guans, and Curassows"
917,"Chachalacas, Guans, and Curassows"
920,"Chachalacas, Guans, and Curassows"
921,"Chachalacas, Guans, and Curassows"
922,"Chachalacas, Guans, and Curassows"
923,"Chachalacas, Guans, and Curassows"
926,"Chachalacas, Guans, and Curassows"
927,"Chachalacas, Guans, and Curassows"
928,"Chachalacas, Guans, and Curassows"
930,"Grouse, Quail, and Allies"
931,"Grouse, Quail, and Allies"
932,"Grouse, Quail, and Allies"
933,"Grouse, Quail, and Allies"
936,"Grouse, Quail, and Allies"
937,"Grouse, Quail, and Allies"
942,"Grouse, Quail, and Allies"
943,"Grouse, Quail, and Allies"
944,"Grouse, Quail, and Allies"
945,"Grouse, Quail, and Allies"
946,"Grouse, Quail, and Allies"
949,"Grouse, Quail, and Allies"
950,"Grouse, Quail, and Allies"
953,"Grouse, Quail, and Allies"
956,"Grouse, Quail, and Allies"
958,"Grouse, Quail, and Allies"
959,"Grouse, Quail, and Allies"
960,"Grouse, Quail, and Allies"
961,"Grouse, Quail, and Allies"
962,"Grouse, Quail, and Allies"
966,"Grouse, Quail, and Allies"
967,"Grouse, Quail, and Allies"
