O,FAM
2,Ostriches
7,Ostriches
8,Ostriches
10,Cassowaries and Emu
11,Cassowaries and Emu
14,Cassowaries and Emu
15,Cassowaries and Emu
21,Kiwis
22,Kiwis
23,Kiwis
24,Kiwis
25,Kiwis
26,Kiwis
27,Kiwis
28,Kiwis
29,Kiwis
30,Kiwis
32,Rheas
38,Rheas
39,Rheas
42,Rheas
44,Tinamous
45,Tinamous
46,Tinamous
49,Tinamous
50,Tinamous
54,Tinamous
62,Tinamous
63,Tinamous
64,Tinamous
65,Tinamous
71,Tinamous
81,Tinamous
82,Tinamous
83,Tinamous
84,Tinamous
85,Tinamous
89,Tinamous
92,Tinamous
93,Tinamous
97,Tinamous
103,Tinamous
106,Tinamous
110,Tinamous
111,Tinamous
114,Tinamous
115,Tinamous
116,Tinamous
119,Tinamous
120,Tinamous
121,Tinamous
126,Tinamous
139,Tinamous
140,Tinamous
145,Tinamous
146,Tinamous
147,Tinamous
148,Tinamous
149,Tinamous
150,Tinamous
151,Tinamous
152,Tinamous
153,Tinamous
154,Tinamous
159,Tinamous
160,Tinamous
163,Tinamous
164,Tinamous
168,Tinamous
169,Tinamous
170,Tinamous
171,Tinamous
172,Tinamous
173,Tinamous
174,Tinamous
189,Tinamous
196,Tinamous
197,Tinamous
198,Tinamous
199,Tinamous
202,Tinamous
203,Tinamous
204,Tinamous
205,Tinamous
214,Tinamous
217,Tinamous
218,Tinamous
226,Tinamous
227,Tinamous
228,Tinamous
229,Tinamous
230,Tinamous
232,Screamers
233,Screamers
234,Screamers
236,Waterfowl
238,Waterfowl
239,Waterfowl
240,Waterfowl
241,Waterfowl
242,Waterfowl
243,Waterfowl
244,Waterfowl
245,Waterfowl
246,Waterfowl
247,Waterfowl
248,Waterfowl
249,Waterfowl
250,Waterfowl
251,Waterfowl
252,Waterfowl
256,Waterfowl
257,Waterfowl
258,Waterfowl
259,Waterfowl
260,Waterfowl
261,Waterfowl
262,Waterfowl
265,Waterfowl
266,Waterfowl
267,Waterfowl
270,Waterfowl
271,Waterfowl
272,Waterfowl
273,Waterfowl
274,Waterfowl
275,Waterfowl
276,Waterfowl
277,Waterfowl
278,Waterfowl
279,Waterfowl
280,Waterfowl
281,Waterfowl
282,Waterfowl
283,Waterfowl
284,Waterfowl
285,Waterfowl
286,Waterfowl
287,Waterfowl
288,Waterfowl
289,Waterfowl
290,Waterfowl
293,Waterfowl
294,Waterfowl
295,Waterfowl
296,Waterfowl
297,Waterfowl
298,Waterfowl
299,Waterfowl
300,Waterfowl
301,Waterfowl
302,Waterfowl
305,Waterfowl
306,Waterfowl
309,Waterfowl
310,Waterfowl
311,Waterfowl
312,Waterfowl
313,Waterfowl
314,Waterfowl
315,Waterfowl
316,Waterfowl
317,Waterfowl
318,Waterfowl
319,Waterfowl
320,Waterfowl
321,Waterfowl
322,Waterfowl
323,Waterfowl
324,Waterfowl
325,Waterfowl
326,Waterfowl
327,Waterfowl
328,Waterfowl
329,Waterfowl
330,Waterfowl
331,Waterfowl
332,Waterfowl
333,Waterfowl
334,Waterfowl
335,Waterfowl
336,Waterfowl
337,Waterfowl
338,Waterfowl
339,Waterfowl
340,Waterfowl
341,Waterfowl
342,Waterfowl
343,Waterfowl
346,Waterfowl
349,Waterfowl
353,Waterfowl
354,Waterfowl
355,Waterfowl
356,Waterfowl
357,Waterfowl
358,Waterfowl
359,Waterfowl
360,Waterfowl
361,Waterfowl
362,Waterfowl
363,Waterfowl
364,Waterfowl
365,Waterfowl
366,Waterfowl
367,Waterfowl
368,Waterfowl
369,Waterfowl
370,Waterfowl
371,Waterfowl
372,Waterfowl
375,Waterfowl
376,Waterfowl
377,Waterfowl
378,Waterfowl
379,Waterfowl
380,Waterfowl
381,Waterfowl
382,Waterfowl
383,Waterfowl
384,Waterfowl
385,Waterfowl
386,Waterfowl
387,Waterfowl
388,Waterfowl
389,Waterfowl
390,Waterfowl
391,Waterfowl
392,Waterfowl
393,Waterfowl
394,Waterfowl
395,Waterfowl
396,Waterfowl
397,Waterfowl
398,Waterfowl
399,Waterfowl
400,Waterfowl
401,Waterfowl
404,Waterfowl
405,Waterfowl
406,Waterfowl
409,Waterfowl
410,Waterfowl
411,Waterfowl
412,Waterfowl
413,Waterfowl
414,Waterfowl
417,Waterfowl
418,Waterfowl
419,Waterfowl
420,Waterfowl
421,Waterfowl
422,Waterfowl
423,Waterfowl
424,Waterfowl
425,Waterfowl
426,Waterfowl
427,Waterfowl
428,Waterfowl
429,Waterfowl
430,Waterfowl
431,Waterfowl
432,Waterfowl
433,Waterfowl
434,Waterfowl
435,Waterfowl
436,Waterfowl
437,Waterfowl
438,Waterfowl
439,Waterfowl
440,Waterfowl
441,Waterfowl
444,Waterfowl
445,Waterfowl
446,Waterfowl
447,Waterfowl
448,Waterfowl
449,Waterfowl
452,Waterfowl
453,Waterfowl
454,Waterfowl
455,Waterfowl
456,Waterfowl
457,Waterfowl
458,Waterfowl
459,Waterfowl
460,Waterfowl
461,Waterfowl
464,Waterfowl
465,Waterfowl
468,Waterfowl
469,Waterfowl
472,Waterfowl
473,Waterfowl
476,Waterfowl
477,Waterfowl
478,Waterfowl
479,Waterfowl
480,Waterfowl
481,Waterfowl
484,Waterfowl
485,Waterfowl
486,Waterfowl
487,Waterfowl
488,Waterfowl
489,Waterfowl
493,Waterfowl
494,Waterfowl
495,Waterfowl
496,Waterfowl
497,Waterfowl
498,Waterfowl
501,Waterfowl
502,Waterfowl
503,Waterfowl
504,Waterfowl
505,Waterfowl
506,Waterfowl
507,Waterfowl
508,Waterfowl
509,Waterfowl
510,Waterfowl
511,Waterfowl
512,Waterfowl
513,Waterfowl
514,Waterfowl
515,Waterfowl
516,Waterfowl
517,Waterfowl
518,Waterfowl
519,Waterfowl
520,Waterfowl
521,Waterfowl
522,Waterfowl
523,Waterfowl
524,Waterfowl
525,Waterfowl
526,Waterfowl
527,Waterfowl
530,Waterfowl
533,Waterfowl
534,Waterfowl
537,Waterfowl
538,Waterfowl
539,Waterfowl
540,Waterfowl
543,Waterfowl
544,Waterfowl
545,Waterfowl
548,Waterfowl
549,Waterfowl
550,Waterfowl
551,Waterfowl
552,Waterfowl
553,Waterfowl
554,Waterfowl
555,Waterfowl
556,Waterfowl
557,Waterfowl
558,Waterfowl
559,Waterfowl
560,Waterfowl
561,Waterfowl
562,Waterfowl
563,Waterfowl
564,Waterfowl
565,Waterfowl
566,Waterfowl
567,Waterfowl
568,Waterfowl
569,Waterfowl
570,Waterfowl
571,Waterfowl
572,Waterfowl
573,Waterfowl
574,Waterfowl
575,Waterfowl
576,Waterfowl
577,Waterfowl
578,Waterfowl
579,Waterfowl
580,Waterfowl
581,Waterfowl
582,Waterfowl
583,Waterfowl
584,Waterfowl
585,Waterfowl
586,Waterfowl
589,Waterfowl
590,Waterfowl
591,Waterfowl
592,Waterfowl
593,Waterfowl
594,Waterfowl
595,Waterfowl
596,Waterfowl
597,Waterfowl
598,Waterfowl
599,Waterfowl
600,Waterfowl
601,Waterfowl
602,Waterfowl
603,Waterfowl
606,Waterfowl
607,Waterfowl
608,Waterfowl
611,Waterfowl
612,Waterfowl
613,Waterfowl
614,Waterfowl
615,Waterfowl
616,Waterfowl
617,Waterfowl
618,Waterfowl
619,Waterfowl
620,Waterfowl
621,Waterfowl
622,Waterfowl
623,Waterfowl
624,Waterfowl
625,Waterfowl
626,Waterfowl
627,Waterfowl
628,Waterfowl
629,Waterfowl
630,Waterfowl
631,Waterfowl
632,Waterfowl
633,Waterfowl
634,Waterfowl
635,Waterfowl
636,Waterfowl
637,Waterfowl
640,Waterfowl
641,Waterfowl
642,Waterfowl
645,Waterfowl
646,Waterfowl
647,Waterfowl
648,Waterfowl
649,Waterfowl
650,Waterfowl
651,Waterfowl
652,Waterfowl
653,Waterfowl
654,Waterfowl
655,Waterfowl
656,Waterfowl
657,Waterfowl
658,Waterfowl
659,Waterfowl
660,Waterfowl
661,Waterfowl
662,Waterfowl
665,Waterfowl
666,Waterfowl
667,Waterfowl
668,Waterfowl
669,Waterfowl
670,Waterfowl
671,Waterfowl
672,Waterfowl
673,Waterfowl
674,Waterfowl
675,Waterfowl
676,Waterfowl
677,Waterfowl
678,Waterfowl
679,Waterfowl
680,Waterfowl
681,Waterfowl
682,Waterfowl
683,Waterfowl
684,Waterfowl
685,Waterfowl
686,Waterfowl
687,Waterfowl
688,Waterfowl
689,Waterfowl
690,Waterfowl
691,Waterfowl
692,Waterfowl
693,Waterfowl
694,Waterfowl
697,Waterfowl
698,Waterfowl
699,Waterfowl
700,Waterfowl
701,Waterfowl
702,Waterfowl
703,Waterfowl
704,Waterfowl
705,Waterfowl
706,Waterfowl
707,Waterfowl
708,Waterfowl
709,Waterfowl
710,Waterfowl
711,Waterfowl
712,Waterfowl
713,Waterfowl
714,Waterfowl
715,Waterfowl
716,Waterfowl
717,Waterfowl
718,Waterfowl
719,Waterfowl
720,Waterfowl
721,Waterfowl
722,Waterfowl
723,Waterfowl
724,Waterfowl
725,Waterfowl
726,Waterfowl
727,Waterfowl
728,Waterfowl
729,Waterfowl
730,Waterfowl
731,Waterfowl
732,Waterfowl
733,Waterfowl
734,Waterfowl
735,Waterfowl
736,Waterfowl
737,Waterfowl
738,Waterfowl
739,Waterfowl
740,Waterfowl
741,Waterfowl
742,Waterfowl
743,Waterfowl
746,Waterfowl
747,Waterfowl
748,Waterfowl
749,Waterfowl
750,Waterfowl
751,Waterfowl
752,Waterfowl
753,Waterfowl
754,Waterfowl
755,Waterfowl
756,Waterfowl
757,Waterfowl
758,Waterfowl
759,Waterfowl
760,Waterfowl
761,Waterfowl
762,Waterfowl
763,Waterfowl
766,Waterfowl
767,Waterfowl
768,Waterfowl
769,Waterfowl
770,Waterfowl
771,Waterfowl
772,Waterfowl
773,Waterfowl
774,Waterfowl
775,Waterfowl
776,Waterfowl
777,Waterfowl
778,Waterfowl
779,Waterfowl
780,Waterfowl
781,Waterfowl
782,Waterfowl
783,Waterfowl
784,Waterfowl
785,Waterfowl
786,Waterfowl
787,Waterfowl
788,Waterfowl
789,Waterfowl
792,Waterfowl
793,Waterfowl
795,Megapodes
796,Megapodes
797,Megapodes
798,Megapodes
801,Megapodes
802,Megapodes
805,Megapodes
810,Megapodes
813,Megapodes
814,Megapodes
815,Megapodes
816,Megapodes
817,Megapodes
818,Megapodes
821,Megapodes
824,Megapodes
832,Megapodes
833,Megapodes
834,Megapodes
835,Megapodes
839,Megapodes
842,Megapodes
843,Megapodes
844,Megapodes
845,Megapodes
846,Megapodes
853,"Chachalacas, Guans, and Curassows"
854,"Chachalacas, Guans, and Curassows"
855,"Chachalacas, Guans, and Curassows"
856,"Chachalacas, Guans, and Curassows"
857,"Chachalacas, Guans, and Curassows"
860,"Chachalacas, Guans, and Curassows"
861,"Chachalacas, Guans, and Curassows"
862,"Chachalacas, Guans, and Curassows"
863,"Chachalacas, Guans, and Curassows"
864,"Chachalacas, Guans, and Curassows"
865,"Chachalacas, Guans, and Curassows"
866,"Chachalacas, Guans, and Curassows"
867,"Chachalacas, Guans, and Curassows"
868,"Chachalacas, Guans, and Curassows"
869,"Chachalacas, Guans, and Curassows"
870,"Chachalacas, Guans, and Curassows"
871,"Chachalacas, Guans, and Curassows"
872,"Chachalacas, Guans, and Curassows"
873,"Chachalacas, Guans, and Curassows"
874,"Chachalacas, Guans, and Curassows"
875,"Chachalacas, Guans, and Curassows"
878,"Chachalacas, Guans, and Curassows"
879,"Chachalacas, Guans, and Curassows"
880,"Chachalacas, Guans, and Curassows"
881,"Chachalacas, Guans, and Curassows"
882,"Chachalacas, Guans, and Curassows"
883,"Chachalacas, Guans, and Curassows"
884,"Chachalacas, Guans, and Curassows"
888,"Chachalacas, Guans, and Curassows"
889,"Chachalacas, Guans, and Curassows"
890,"Chachalacas, Guans, and Curassows"
894,"Chachalacas, Guans, and Curassows"
895,"Chachalacas, Guans, and Curassows"
898,"Chachalacas, Guans, and Curassows"
899,"Chachalacas, Guans, and Curassows"
900,"Chachalacas, Guans, and Curassows"
901,"Chachalacas, Guans, and Curassows"
905,"Chachalacas, Guans, and Curassows"
908,"Chachalacas, Guans, and Curassows"
909,"Chachalacas, Guans, and Curassows"
910,"Chachalacas, Guans, and Curassows"
911,"Chachalacas, Guans, and Curassows"
915,"Chachalacas, Guans, and Curassows"
916,"Chachalacas, Guans, and Curassows"
917,"Chachalacas, Guans, and Curassows"
918,"Chachalacas, Guans, and Curassows"
919,"Chachalacas, Guans, and Curassows"
920,"Chachalacas, Guans, and Curassows"
923,"Chachalacas, Guans, and Curassows"
924,"Chachalacas, Guans, and Curassows"
925,"Chachalacas, Guans, and Curassows"
926,"Chachalacas, Guans, and Curassows"
927,"Chachalacas, Guans, and Curassows"
928,"Chachalacas, Guans, and Curassows"
929,"Chachalacas, Guans, and Curassows"
930,"Chachalacas, Guans, and Curassows"
933,"Chachalacas, Guans, and Curassows"
934,"Chachalacas, Guans, and Curassows"
935,"Chachalacas, Guans, and Curassows"
936,"Chachalacas, Guans, and Curassows"
939,"Chachalacas, Guans, and Curassows"
940,"Chachalacas, Guans, and Curassows"
941,"Chachalacas, Guans, and Curassows"
944,"Chachalacas, Guans, and Curassows"
945,"Chachalacas, Guans, and Curassows"
950,"Chachalacas, Guans, and Curassows"
951,"Chachalacas, Guans, and Curassows"
952,"Chachalacas, Guans, and Curassows"
953,"Chachalacas, Guans, and Curassows"
954,"Chachalacas, Guans, and Curassows"
955,"Chachalacas, Guans, and Curassows"
956,"Chachalacas, Guans, and Curassows"
957,"Chachalacas, Guans, and Curassows"
